form,tag,count
ᆫ단,ETM,157
all,SL,157
still,SL,157
ring,SL,157
잠들,VV,157
자유,NNG,156
워,IC,155
대신,NNG,155
like,SL,155
pop,SL,155
아쉽,VA,155
영화,NNG,154
가까이,MAG,153
가장,MAG,153
boom,SL,153
무너지,VV,153
뭐,IC,152
그래서,MAJ,152
위로,NNG,152
바쁘,VA,152
묻,VV,151
왠지,MAG,150
높,VA,150
머물,VV,150
마주치,VV,150
이리,MAG,149
아무런,MM,149
한숨,NNG,149
일어나,VV,149
소리치,VV,149
이여,JKV,148
이,NNG,148
프,VX,148
우연히,MAG,147
놈,NNB,147
용기,NNG,147
put,SL,147
적,XSN,147
야,JKV,146
만남,NNG,146
피하,VV,146
날리,VV,146
부족,NNG,145
but,SL,145
way,SL,145
숨,VV,145
어,IC,144
태우,VV,144
너와,NNG,143
knock,SL,143
헤매,VV,143
그림자,NNG,142
저,NP,142
깨,VV,142
마르,VV,142
익숙,XR,142
냐고,EC,141
높이,MAG,141
see,SL,141
낯설,VA,141
힘겹,VA,141
방,NNG,140
쓸쓸,XR,140
나요,EC,139
땜,NNB,139
놓치,VV,139
대로,JX,138
물,NNG,138
정,NNG,138
화,NNG,138
상상,NNG,138
you,SL,138
can,SL,138
da,SL,138
편하,VA,138
여,EC,137
더욱,MAG,137
me,SL,137
즐겁,VA,137
모이,VV,137
망설이,VV,137
only,SL,136
and,SL,136
ha,SL,136
dance,SL,136
쌓이,VV,136
입,VV,136
여인,NNG,135
엄마,NNG,135
편지,NNG,135
진실,NNG,135
연인,NNG,135
say,SL,135
가리,VV,135
여전히,MAG,134
낙엽,NNG,134
사진,NNG,134
걸어가,VV,134
생기,VV,134
맴돌,VV,134
어서,MAG,133
달빛,NNG,133
3,SN,133
서럽,VA,133
넘,VV,133
깊이,MAG,132
도대체,MAG,132
온,MM,132
불빛,NNG,132
대,NNG,132
잔,NNG,132
창,NNG,132
기대,NNG,132
now,SL,132
속삭이,VV,132
커지,VV,132
답,XSA,132
한마디,NNG,131
적시,VV,131
야,NNG,130
귀,NNG,130
마디,NNG,130
boy,SL,130
빨갛,VA,130
ᆯ게요,EF,129
같이,JKB,129
포기,NNG,129
욕심,NNG,128
나,NNG,128
는가,EC,127
오오오,IC,127
그리워하,VV,127
근데,MAJ,126
꽃잎,NNG,126
forever,SL,126
but,SL,126
again,SL,126
crazy,SL,126
ᆫ가요,EF,125
겁,NNG,125
불안,NNG,125
song,SL,125
lie,SL,125
call,SL,125
달려가,VV,125
말없이,MAG,124
어차피,MAG,124
텅,MAG,124
옷,NNG,124
목,NNG,124
반,NNG,124
tonight,SL,124
정신,NNG,123
잊어버리,VV,123
던지,VV,123
더라도,EC,122
다가가,VV,122
어머,IC,121
over,SL,121
서,JKS,120
인사,NNG,120
날개,NNG,120
nobody,SL,120
꺼내,VV,120
외치,VV,120
초라,XR,120
ᆫ,Z_CODA,120
그렇게,MAG,119
분,NNB,119
반복,NNG,119
달라지,VV,119
오랜,MM,118
one,SL,118
woo,SL,118
sorry,SL,118
빌,VV,118
전부,MAG,117
머,NP,117
huh,SL,117
4,SN,117
파랗,VA,117
막히,VV,117
벗어나,VV,117
곤,EC,116
랑,JKB,116
땅,NNG,116
나이,NNG,116
선물,NNG,116
that,SL,116
boom,SL,116
꺼지,VV,116
들,VX,116
대,XPN,116
진심,NNG,115
시선,NNG,115
째,XSN,115
별,MM,114
고민,NNG,114
춤추,VV,114
한번,MAG,113
배,NNG,113
옛날,NNG,113
감정,NNG,112
mine,SL,112
움직이,VV,112
어색,XR,112
라서,EC,111
새,MM,111
부탁,NNG,111
영혼,NNG,111
have,SL,111
놀라,VV,111
오르,VV,111
편히,MAG,110
장미,NNG,110
빗물,NNG,110
무어,NP,110
man,SL,110
bo,SL,110
peep,SL,110
정말로,MAG,109
진짜,MAG,109
산,NNG,109
가슴속,NNG,109
o,SL,109
cry,SL,109
fly,SL,109
`,SW,109
기쁘,VA,109
우,IC,108
거짓,NNG,108
요즘,NNG,108
mr,SL,108
자고,EC,107
종일,NNG,107
high,SL,107
new,SL,107
약하,VA,107
반짝이,VV,107
냐,EF,106
문득,MAG,106
옛,MM,106
첫,MM,106
라라,NNP,106
on,SL,106
in,SL,106
change,SL,106
까맣,VA,106
쏟아지,VV,106
흩어지,VV,106
못나,VV,106
마주,MAG,105
잘못,MAG,105
내,NNB,105
뒷모습,NNG,105
body,SL,105
gotta,SL,105
dot,SL,105
희미,XR,105
살며시,MAG,104
사실,MAG,104
