word,type,count,language
그리고,Conjunction,226,kr
뭘,Noun,224,kr
이해,Noun,224,kr
채우다,Verb,223,kr
떠오르다,Verb,223,kr
나쁘다,Adjective,222,kr
같이,Josa,222,kr
어느새다,Adjective,221,kr
만은,Josa,221,kr
내게로,Noun,221,kr
난,Josa,220,kr
ma,Eng,219,en
잊혀지다,Verb,219,kr
woo,Eng,218,en
da,Eng,218,en
숨다,Verb,217,kr
pop,Eng,216,en
more,Eng,215,en
i,Eng,214,en
조차,Josa,214,kr
기도,Noun,214,kr
떨리다,Verb,214,kr
간,Noun,213,kr
불,Noun,213,kr
몰래,Noun,213,kr
태우다,Verb,213,kr
달다,Verb,213,kr
멋지다,Adjective,212,kr
life,Eng,212,en
입,Noun,212,kr
음악,Noun,212,kr
가득하다,Adjective,211,kr
달라,Noun,211,kr
보여주다,Verb,211,kr
새롭다,Adjective,210,kr
마치,Noun,210,kr
고맙다,Adjective,209,kr
늘다,Verb,209,kr
비추다,Verb,209,kr
수많다,Adjective,208,kr
춤,Noun,208,kr
누군가,Noun,208,kr
흔들리다,Verb,207,kr
call,Eng,206,en
돈,Noun,206,kr
들리다,Verb,205,kr
무슨,Noun,204,kr
떨어지다,Verb,204,kr
태어나다,Verb,204,kr
안고,Noun,203,kr
표정,Noun,203,kr
절대,Noun,203,kr
ring,Eng,202,en
만난,Noun,201,kr
피다,Verb,201,kr
away,Eng,200,en
날아가다,Verb,200,kr
갖다,Verb,200,kr
흘러가다,Verb,199,kr
헤매다,Verb,199,kr
out,Eng,198,en
그것,Noun,198,kr
열다,Verb,198,kr
한마디,Noun,197,kr
이야기,Noun,197,kr
진짜,Noun,197,kr
지내다,Verb,197,kr
겨울,Noun,195,kr
여름,Noun,195,kr
사실,Noun,195,kr
감추다,Verb,195,kr
짓다,Verb,193,kr
따다,Verb,193,kr
간다,Noun,192,kr
만날,Noun,192,kr
옆,Noun,191,kr
준비,Noun,191,kr
님,Suffix,191,kr
돌아보다,Verb,191,kr
어렵다,Adjective,190,kr
조금씩,Adverb,188,kr
나가다,Verb,188,kr
파도,Noun,187,kr
밝다,Verb,187,kr
라는,Josa,186,kr
어쩌면,Noun,186,kr
의미,Noun,186,kr
닮다,Verb,186,kr
cry,Eng,185,en
짧다,Adjective,184,kr
put,Eng,184,en
태양,Noun,184,kr
그땐,Noun,183,kr
닿다,Verb,183,kr
yes,Eng,182,en
거울,Noun,182,kr
테,Noun,182,kr
따뜻하다,Adjective,181,kr
힘드다,Adjective,181,kr
차라리,Noun,181,kr
쓸쓸하다,Adjective,180,kr
